Geneid,RNA-seq_Gametocyte_WT_1,RNA-seq_Gametocyte_WT_2,RNA-seq_Gametocyte_WT_3,RNA-seq_gSNF2_KO_1,RNA-seq_gSNF2_KO_2,RNA-seq_gSNF2_KO_3
PBANKA_0000101,0,0,0,0,0,0
PBANKA_0000201,0,0,0,0,0,0
PBANKA_0000301,14,10,2,0,2,0
PBANKA_0000401,0,0,0,0,0,0
PBANKA_0000600,10,5,0,0,2,0
PBANKA_0000701,0,0,0,0,0,0
PBANKA_0000801,0,0,0,0,0,0
PBANKA_0000901,0,0,0,0,0,0
PBANKA_0001001,159,63,16,8,39,1
PBANKA_0001101,9,3,0,1,22,0
PBANKA_0001200,0,0,0,0,0,0
PBANKA_0001201,4,1,0,0,7,0
PBANKA_0001301,0,2,0,0,2,0
PBANKA_0001401,14,22,3,1,4,3
PBANKA_0001501,0,0,0,0,0,0
PBANKA_0001601,0,0,0,0,0,0
PBANKA_0006300,5,2,4,1,1,5
PBANKA_0006401,0,0,0,0,0,0
PBANKA_0006501,0,0,0,0,0,0
PBANKA_0006600,0,0,0,0,0,0
PBANKA_0006701,0,0,0,0,0,0
PBANKA_0006800,0,0,0,0,0,0
PBANKA_0006900,0,0,0,0,0,0
PBANKA_0007000,0,0,0,0,0,0
PBANKA_0007100,0,0,0,0,0,0
PBANKA_0007200,0,0,0,0,0,0
PBANKA_0007300,0,0,0,0,0,0
PBANKA_0007401,0,0,0,0,0,0
PBANKA_0007501,0,0,0,0,0,0
PBANKA_0007601,0,0,0,0,0,0
PBANKA_0007701,1,1,0,1,3,1
PBANKA_0007801,4,0,0,0,0,0
PBANKA_0007901,0,0,0,0,0,0
PBANKA_0008001,0,0,0,0,0,0
PBANKA_0008101,10,5,4,7,14,0
PBANKA_0008201,2,2,0,0,2,1
PBANKA_0008301,0,0,0,0,0,0
PBANKA_0008401,0,0,0,0,0,0
PBANKA_0008501,0,0,0,0,0,0
PBANKA_0008601,0,0,0,0,0,0
PBANKA_0008701,0,0,0,0,0,0
PBANKA_0008801,0,0,0,0,0,0
PBANKA_0008901,0,0,0,0,0,0
PBANKA_0009101,0,0,0,0,0,1
PBANKA_0100021,93,25,9,10,16,6
PBANKA_0100041,64,27,0,3,20,3
PBANKA_0100061,421,338,99,74,264,40
PBANKA_0100081,0,0,0,0,0,0
PBANKA_0100100,68,77,12,9,34,9
PBANKA_0100200,1348,731,409,71,811,39
PBANKA_0100300,3,8,2,0,2,0
PBANKA_0100400,491,205,56,74,184,38
PBANKA_0100500,1881,1320,536,358,1281,314
PBANKA_0100600,1163,785,432,162,797,140
PBANKA_0100700,4916,3143,1687,1795,3665,594
PBANKA_0100800,34147,10197,2423,2901,8203,2529
PBANKA_0100900,4990,1499,160,497,1486,405
PBANKA_0101000,303,121,59,56,98,24
PBANKA_0101100,374,281,81,105,233,70
