Geneid	AP2CKO_1.bam	AP2CKO_2.bam	AP2CKO_3.bam
PBANKA_0932200	10259	19887	14108
PBANKA_0832100	1133	2969	2111
PBANKA_1112300	5869	10123	7966
PBANKA_1307600	4459	6677	5809
PBANKA_0818100	4021	4927	4365
PBANKA_1329900	46808	56226	50508
PBANKA_1142400	9537	13531	10871
PBANKA_1360200	3530	4795	4137
PBANKA_0210300	662	1266	884
PBANKA_1219900	10304	12894	11088
PBANKA_1300071	1	2	1
PBANKA_0700071	362	603	712
PBANKA_0942000	13025	15602	13886
PBANKA_1127700	4286	10785	7938
PBANKA_0933900	1554	3413	2573
PBANKA_1216800	49869	60703	53175
PBANKA_0006701	0	0	0
PBANKA_0806700	40252	46297	41240
PBANKA_1241800	34570	50702	45203
PBANKA_0826400	5636	7928	6780
PBANKA_0943300	1647	3512	2835
PBANKA_1141200	334	730	519
PBANKA_0302200	4446	5918	5358
PBANKA_1219800	5042	8923	6654
PBANKA_0912100	16239	28738	22222
PBANKA_1211700	4701	7525	5579
PBANKA_0314400	1439	2843	2195
PBANKA_0714800	1138	2390	1940
PBANKA_1009200	62963	71890	66305
PBANKA_1337100	17635	29860	24140
PBANKA_0100100	92	131	135
PBANKA_0938800	35050	38983	37194
PBANKA_1121100	4094	6672	6034
PBANKA_0302400	2178	3434	2575
PBANKA_0216081	0	0	0
PBANKA_1363400	1595	1759	1714
PBANKA_1414900	14535	15692	14409
PBANKA_0813600	6439	8014	7494
PBANKA_0941500	25026	43601	37119
PBANKA_0721300	1763	2393	2229
PBANKA_0408800	3438	4705	4394
PBANKA_1425700	665	1130	903
PBANKA_1430100	4102	6618	5303
PBANKA_1222800	5420	7508	6771
PBANKA_1011900	617	1033	946
PBANKA_1443000	33669	47289	40465
PBANKA_0720900	78797	92910	87898
PBANKA_API00180	1	4	0
PBANKA_1308700	790	1384	1118
PBANKA_0903600	13595	22396	18189
PBANKA_1221600	13445	20595	16804
PBANKA_0616800	4468	7390	5307
PBANKA_1352200	3705	5048	4280
PBANKA_1023300	4093	5789	4552
PBANKA_1309400	10689	18546	18469
PBANKA_0620700	15342	15385	11752
PBANKA_1209400	51801	62606	54881
PBANKA_1311100	1114	2090	1493
PBANKA_0802000	21437	29949	25335
PBANKA_1417100	3603	6499	5533
