Geneid	271KO_RNA_1.bam	271KO_RNA_2.bam	271KO_RNA_3.bam
PBANKA_0932200	1140	5759	3539
PBANKA_0832100	95	252	256
PBANKA_1112300	745	2976	2319
PBANKA_1307600	315	946	926
PBANKA_0818100	201	540	567
PBANKA_1329900	2038	8629	13325
PBANKA_1142400	1122	3693	3644
PBANKA_1360200	645	1691	2128
PBANKA_0210300	32	113	74
PBANKA_1219900	703	1625	1559
PBANKA_1300071	0	0	0
PBANKA_0700071	126	227	192
PBANKA_0942000	529	1322	1280
PBANKA_1127700	312	1242	851
PBANKA_0933900	203	755	697
PBANKA_1216800	3052	5641	5751
PBANKA_0006701	0	0	0
PBANKA_0806700	2657	6328	6127
PBANKA_1241800	5290	12209	11199
PBANKA_0826400	835	2446	2671
PBANKA_0943300	276	664	594
PBANKA_1141200	5	56	44
PBANKA_0302200	264	799	1155
PBANKA_1219800	292	896	666
PBANKA_0912100	1563	4729	3644
PBANKA_1211700	180	763	526
PBANKA_0314400	173	483	406
PBANKA_0714800	100	361	238
PBANKA_1009200	4534	8257	9845
PBANKA_1337100	2177	3948	3483
PBANKA_0100100	9	30	27
PBANKA_0938800	2208	3950	5620
PBANKA_1121100	242	648	600
PBANKA_0302400	138	350	348
PBANKA_0216081	0	0	0
PBANKA_1363400	76	240	312
PBANKA_1414900	1006	2400	3518
PBANKA_0813600	415	840	826
PBANKA_0941500	2985	7300	7308
PBANKA_0721300	64	289	301
PBANKA_0408800	274	628	831
PBANKA_1425700	53	158	179
PBANKA_1430100	390	953	856
PBANKA_1222800	558	1633	1607
PBANKA_1011900	72	277	277
PBANKA_1443000	4637	9125	8363
PBANKA_0720900	10090	22018	30568
PBANKA_API00180	0	0	5
PBANKA_1308700	69	248	203
PBANKA_0903600	1363	3271	3096
PBANKA_1221600	1122	2424	2442
PBANKA_0616800	176	586	469
PBANKA_1352200	258	544	544
PBANKA_1023300	288	598	682
PBANKA_1309400	1239	3201	3505
PBANKA_0620700	1283	2894	3400
PBANKA_1209400	3879	8926	11327
PBANKA_1311100	112	665	432
PBANKA_0802000	687	2299	2030
PBANKA_1417100	525	1161	887
PBANKA_0112721	2	2	5
PBANKA_0915700	223	664	566
PBANKA_1028100	227	557	585
PBANKA_1239800	962	2127	2600
PBANKA_1333300	658	1562	1376
PBANKA_1010900	645	1260	1540
PBANKA_1225200	17	79	60
PBANKA_1022200	142	621	844
PBANKA_0304900	3460	16567	15405
PBANKA_1421261	23	26	44
PBANKA_1466000	28	63	63
PBANKA_1103300	795	1494	2237
PBANKA_0703300	2226	4605	5090
PBANKA_1435600	101	233	306
PBANKA_1410900	74	173	166
PBANKA_MIT00300	0	0	0
PBANKA_1448700	1046	2792	2698
PBANKA_1300031	41	170	147
PBANKA_1219100	3017	5739	7951
PBANKA_0926500	1997	4179	4662
PBANKA_0830200	3990	19928	13319
PBANKA_1218100	1155	1253	3308
PBANKA_0703700	509	1438	1589
PBANKA_1422400	1270	3000	2995
PBANKA_0501700	676	1253	1527
PBANKA_1033400	506	1185	982
PBANKA_1012800	668	1764	1732
PBANKA_1145761	5	9	2
PBANKA_1012000	63	218	195
PBANKA_0911650	75	322	1114
PBANKA_1306600	1252	2903	3003
PBANKA_1006900	100	303	331
PBANKA_1455200	578	1297	1263
PBANKA_MIT00700	81	181	239
PBANKA_0921200	115	286	610
PBANKA_0600091	1	13	9
PBANKA_1400800	115	535	599
PBANKA_1306000	2301	8814	10095
PBANKA_0938200	2	23	20
PBANKA_1346800	491	1316	1467
PBANKA_1214400	923	1805	2520
PBANKA_1109600	2971	4908	5170
PBANKA_1346200	468	1676	1368
PBANKA_1123900	292	939	893
PBANKA_1006300	522	658	1087
PBANKA_1242800	573	1649	1451
PBANKA_0925800	911	2033	2237
PBANKA_1420000	162	534	615
PBANKA_0212700	1674	2910	2756
PBANKA_0606000	97	246	172
PBANKA_1024351	8	68	246
PBANKA_0216021	0	0	0
PBANKA_0209800	85	230	263
PBANKA_1351700	683	2104	2183
PBANKA_0621500	270	787	705
PBANKA_0800041	0	3	0
PBANKA_1336300	468	1568	1572
PBANKA_1229200	1270	3369	2718
PBANKA_1427600	495	1128	1159
PBANKA_1011600	1034	2104	2597
PBANKA_0516900	2768	6566	7099
PBANKA_0902400	1081	2445	2481
PBANKA_0406300	541	1388	1286
PBANKA_1420600	1642	6864	7528
PBANKA_0515500	99	357	401
PBANKA_1216300	596	1098	1042
PBANKA_0800700	255	671	643
PBANKA_0601300	166	464	411
PBANKA_0609900	1581	3626	3061
PBANKA_0317061	130	835	651
PBANKA_1015500	25	75	82
PBANKA_0502400	209	486	369
PBANKA_0936000	1105	2086	2634
PBANKA_0105200	307	1072	902
PBANKA_1349400	794	1459	1606
