Geneid,AP2CKO_1.bam,AP2CKO_2.bam,AP2CKO_3.bam,271KO_RNA_1.bam,271KO_RNA_2.bam,271KO_RNA_3.bam
PBANKA_0932200,10259,19887,14108,1140,5759,3539
PBANKA_0832100,1133,2969,2111,95,252,256
PBANKA_1112300,5869,10123,7966,745,2976,2319
PBANKA_1307600,4459,6677,5809,315,946,926
PBANKA_0818100,4021,4927,4365,201,540,567
PBANKA_1329900,46808,56226,50508,2038,8629,13325
PBANKA_1142400,9537,13531,10871,1122,3693,3644
PBANKA_1360200,3530,4795,4137,645,1691,2128
PBANKA_0210300,662,1266,884,32,113,74
PBANKA_1219900,10304,12894,11088,703,1625,1559
PBANKA_1300071,1,2,1,0,0,0
PBANKA_0700071,362,603,712,126,227,192
PBANKA_0942000,13025,15602,13886,529,1322,1280
PBANKA_1127700,4286,10785,7938,312,1242,851
PBANKA_0933900,1554,3413,2573,203,755,697
PBANKA_1216800,49869,60703,53175,3052,5641,5751
PBANKA_0006701,0,0,0,0,0,0
PBANKA_0806700,40252,46297,41240,2657,6328,6127
PBANKA_1241800,34570,50702,45203,5290,12209,11199
PBANKA_0826400,5636,7928,6780,835,2446,2671
PBANKA_0943300,1647,3512,2835,276,664,594
PBANKA_1141200,334,730,519,5,56,44
PBANKA_0302200,4446,5918,5358,264,799,1155
PBANKA_1219800,5042,8923,6654,292,896,666
PBANKA_0912100,16239,28738,22222,1563,4729,3644
PBANKA_1211700,4701,7525,5579,180,763,526
PBANKA_0314400,1439,2843,2195,173,483,406
PBANKA_0714800,1138,2390,1940,100,361,238
PBANKA_1009200,62963,71890,66305,4534,8257,9845
PBANKA_1337100,17635,29860,24140,2177,3948,3483
PBANKA_0100100,92,131,135,9,30,27
PBANKA_0938800,35050,38983,37194,2208,3950,5620
PBANKA_1121100,4094,6672,6034,242,648,600
PBANKA_0302400,2178,3434,2575,138,350,348
PBANKA_0216081,0,0,0,0,0,0
PBANKA_1363400,1595,1759,1714,76,240,312
PBANKA_1414900,14535,15692,14409,1006,2400,3518
PBANKA_0813600,6439,8014,7494,415,840,826
PBANKA_0941500,25026,43601,37119,2985,7300,7308
PBANKA_0721300,1763,2393,2229,64,289,301
PBANKA_0408800,3438,4705,4394,274,628,831
PBANKA_1425700,665,1130,903,53,158,179
PBANKA_1430100,4102,6618,5303,390,953,856
PBANKA_1222800,5420,7508,6771,558,1633,1607
PBANKA_1011900,617,1033,946,72,277,277
PBANKA_1443000,33669,47289,40465,4637,9125,8363
PBANKA_0720900,78797,92910,87898,10090,22018,30568
PBANKA_API00180,1,4,0,0,0,5
PBANKA_1308700,790,1384,1118,69,248,203
PBANKA_0903600,13595,22396,18189,1363,3271,3096
PBANKA_1221600,13445,20595,16804,1122,2424,2442
PBANKA_0616800,4468,7390,5307,176,586,469
PBANKA_1352200,3705,5048,4280,258,544,544
PBANKA_1023300,4093,5789,4552,288,598,682
PBANKA_1309400,10689,18546,18469,1239,3201,3505
PBANKA_0620700,15342,15385,11752,1283,2894,3400
PBANKA_1209400,51801,62606,54881,3879,8926,11327
PBANKA_1311100,1114,2090,1493,112,665,432
PBANKA_0802000,21437,29949,25335,687,2299,2030
PBANKA_1417100,3603,6499,5533,525,1161,887
PBANKA_0112721,13,21,22,2,2,5
PBANKA_0915700,1892,3124,2614,223,664,566
PBANKA_1028100,3384,4537,4267,227,557,585
