Geneid	Length	RNA-seq_gSNF2_KO_1	RNA-seq_gSNF2_KO_2	RNA-seq_gSNF2_KO_3
PBANKA_0000101	1353	0	0	0
PBANKA_0000201	291	0	0	0
PBANKA_0000301	777	0	2	0
PBANKA_0000401	969	0	0	0
PBANKA_0000600	843	0	2	0
PBANKA_0000701	927	0	0	0
PBANKA_0000801	888	0	0	0
PBANKA_0000901	1209	0	0	0
PBANKA_0001001	990	8	39	1
PBANKA_0001101	948	1	22	0
PBANKA_0001200	726	0	0	0
PBANKA_0001201	921	0	7	0
PBANKA_0001301	957	0	2	0
PBANKA_0001401	981	1	4	3
PBANKA_0001501	891	0	0	0
PBANKA_0001601	978	0	0	0
PBANKA_0006300	957	1	1	5
PBANKA_0006401	729	0	0	0
PBANKA_0006501	729	0	0	0
PBANKA_0006600	729	0	0	0
PBANKA_0006701	732	0	0	0
PBANKA_0006800	729	0	0	0
PBANKA_0006900	729	0	0	0
PBANKA_0007000	726	0	0	0
PBANKA_0007100	729	0	0	0
PBANKA_0007200	729	0	0	0
PBANKA_0007300	729	0	0	0
PBANKA_0007401	999	0	0	0
PBANKA_0007501	978	0	0	0
PBANKA_0007601	891	0	0	0
PBANKA_0007701	1458	1	3	1
PBANKA_0007801	723	0	0	0
PBANKA_0007901	978	0	0	0
PBANKA_0008001	891	0	0	0
PBANKA_0008101	969	7	14	0
PBANKA_0008201	996	0	2	1
PBANKA_0008301	483	0	0	0
PBANKA_0008401	687	0	0	0
PBANKA_0008501	681	0	0	0
PBANKA_0008601	726	0	0	0
PBANKA_0008701	444	0	0	0
PBANKA_0008801	597	0	0	0
PBANKA_0008901	657	0	0	0
PBANKA_0009101	690	0	0	1
PBANKA_0100021	777	10	16	6
PBANKA_0100041	5223	3	20	3
PBANKA_0100061	411	74	264	40
PBANKA_0100081	876	0	0	0
PBANKA_0100100	795	9	34	9
PBANKA_0100200	1026	71	811	39
PBANKA_0100300	1305	0	2	0
PBANKA_0100400	1842	74	184	38
PBANKA_0100500	1056	358	1281	314
PBANKA_0100600	483	162	797	140
PBANKA_0100700	966	1795	3665	594
PBANKA_0100800	4149	2901	8203	2529
PBANKA_0100900	3903	497	1486	405
PBANKA_0101000	789	56	98	24
PBANKA_0101100	954	105	233	70
PBANKA_0101200	2769	228	414	114
PBANKA_0101300	1155	55	143	45
PBANKA_0101400	3606	806	2099	378
PBANKA_0101500	1404	1074	4649	694
PBANKA_0101600	2025	55	143	38
PBANKA_0101700	1326	246	1087	124
PBANKA_0101800	1500	2795	7730	1193
PBANKA_0101900	1437	218	560	159
PBANKA_0102000	1425	125	314	88
PBANKA_0102100	1554	1042	2505	283
PBANKA_0102200	2706	214	999	215
PBANKA_0102300	1323	332	922	199
PBANKA_0102400	5526	344	1275	99
PBANKA_0102500	1434	137	430	199
PBANKA_0102600	5565	616	1557	684
PBANKA_0102700	1119	115	887	102
PBANKA_0102800	4530	152	516	121
PBANKA_0102900	5787	1182	3350	1269
PBANKA_0103000	282	390	1002	219
PBANKA_0103100	1992	44	239	28
PBANKA_0103200	582	797	4229	144
PBANKA_0103300	6102	1019	5014	1125
PBANKA_0103400	954	277	666	190
PBANKA_0103500	4305	61	162	41
