Geneid	Length	RNA-seq_Gametocyte_WT_1	RNA-seq_Gametocyte_WT_2	RNA-seq_Gametocyte_WT_3	RNA-seq_gSNF2_KO_1	RNA-seq_gSNF2_KO_2	RNA-seq_gSNF2_KO_3
PBANKA_0000101	1353	0	0	0	0	0	0
PBANKA_0000201	291	0	0	0	0	0	0
PBANKA_0000301	777	14	10	2	0	2	0
PBANKA_0000401	969	0	0	0	0	0	0
PBANKA_0000600	843	10	5	0	0	2	0
PBANKA_0000701	927	0	0	0	0	0	0
PBANKA_0000801	888	0	0	0	0	0	0
PBANKA_0000901	1209	0	0	0	0	0	0
PBANKA_0001001	990	159	63	16	8	39	1
PBANKA_0001101	948	9	3	0	1	22	0
PBANKA_0001200	726	0	0	0	0	0	0
PBANKA_0001201	921	4	1	0	0	7	0
PBANKA_0001301	957	0	2	0	0	2	0
PBANKA_0001401	981	14	22	3	1	4	3
PBANKA_0001501	891	0	0	0	0	0	0
PBANKA_0001601	978	0	0	0	0	0	0
PBANKA_0006300	957	5	2	4	1	1	5
PBANKA_0006401	729	0	0	0	0	0	0
PBANKA_0006501	729	0	0	0	0	0	0
PBANKA_0006600	729	0	0	0	0	0	0
PBANKA_0006701	732	0	0	0	0	0	0
PBANKA_0006800	729	0	0	0	0	0	0
PBANKA_0006900	729	0	0	0	0	0	0
PBANKA_0007000	726	0	0	0	0	0	0
PBANKA_0007100	729	0	0	0	0	0	0
PBANKA_0007200	729	0	0	0	0	0	0
PBANKA_0007300	729	0	0	0	0	0	0
PBANKA_0007401	999	0	0	0	0	0	0
PBANKA_0007501	978	0	0	0	0	0	0
PBANKA_0007601	891	0	0	0	0	0	0
PBANKA_0007701	1458	1	1	0	1	3	1
PBANKA_0007801	723	4	0	0	0	0	0
PBANKA_0007901	978	0	0	0	0	0	0
PBANKA_0008001	891	0	0	0	0	0	0
PBANKA_0008101	969	10	5	4	7	14	0
PBANKA_0008201	996	2	2	0	0	2	1
PBANKA_0008301	483	0	0	0	0	0	0
PBANKA_0008401	687	0	0	0	0	0	0
PBANKA_0008501	681	0	0	0	0	0	0
PBANKA_0008601	726	0	0	0	0	0	0
PBANKA_0008701	444	0	0	0	0	0	0
PBANKA_0008801	597	0	0	0	0	0	0
PBANKA_0008901	657	0	0	0	0	0	0
PBANKA_0009101	690	0	0	0	0	0	1
PBANKA_0100021	777	93	25	9	10	16	6
PBANKA_0100041	5223	64	27	0	3	20	3
PBANKA_0100061	411	421	338	99	74	264	40
PBANKA_0100081	876	0	0	0	0	0	0
PBANKA_0100100	795	68	77	12	9	34	9
PBANKA_0100200	1026	1348	731	409	71	811	39
PBANKA_0100300	1305	3	8	2	0	2	0
PBANKA_0100400	1842	491	205	56	74	184	38
PBANKA_0100500	1056	1881	1320	536	358	1281	314
PBANKA_0100600	483	1163	785	432	162	797	140
PBANKA_0100700	966	4916	3143	1687	1795	3665	594
PBANKA_0100800	4149	34147	10197	2423	2901	8203	2529
PBANKA_0100900	3903	4990	1499	160	497	1486	405
PBANKA_0101000	789	303	121	59	56	98	24
PBANKA_0101100	954	374	281	81	105	233	70
PBANKA_0101200	2769	1046	560	128	228	414	114
PBANKA_0101300	1155	269	155	68	55	143	45
PBANKA_0101400	3606	6840	2197	481	806	2099	378
PBANKA_0101500	1404	10912	5683	1672	1074	4649	694
PBANKA_0101600	2025	367	132	45	55	143	38
PBANKA_0101700	1326	5037	1836	620	246	1087	124
PBANKA_0101800	1500	17225	9608	3191	2795	7730	1193
PBANKA_0101900	1437	1653	654	262	218	560	159
PBANKA_0102000	1425	490	400	167	125	314	88
PBANKA_0102100	1554	4148	4013	1161	1042	2505	283
PBANKA_0102200	2706	2736	1085	369	214	999	215
PBANKA_0102300	1323	1565	1095	326	332	922	199
PBANKA_0102400	5526	4040	1327	303	344	1275	99
PBANKA_0102500	1434	1222	511	172	137	430	199
PBANKA_0102600	5565	7696	4592	660	616	1557	684
PBANKA_0102700	1119	4523	2923	904	115	887	102
PBANKA_0102800	4530	1952	707	271	152	516	121
PBANKA_0102900	5787	11747	3382	1157	1182	3350	1269
PBANKA_0103000	282	558	554	283	390	1002	219
PBANKA_0103100	1992	653	166	81	44	239	28
PBANKA_0103200	582	7681	4785	1331	797	4229	144
PBANKA_0103300	6102	19541	4391	304	1019	5014	1125
PBANKA_0103400	954	1549	1042	351	277	666	190
PBANKA_0103500	4305	310	160	60	61	162	41
PBANKA_0103700	285	221	174	46	87	170	43
PBANKA_0103800	585	454	294	124	119	191	87
PBANKA_0103900	2208	9580	2515	508	694	1390	470
PBANKA_0104000	636	2780	2775	1154	1010	2635	486
PBANKA_0104100	1062	4153	4307	1580	1133	2976	395
PBANKA_0104200	474	561	328	135	13	64	10
PBANKA_0104300	1797	247	108	33	33	120	31
PBANKA_0104400	4974	6282	2051	682	412	1095	343
PBANKA_0104500	780	13622	8194	2081	1249	5502	1281
PBANKA_0104600	5598	6519	2502	504	1041	3691	814
PBANKA_0104700	867	5358	3182	2552	1171	6272	533
PBANKA_0104800	3003	2382	754	285	259	1055	274
PBANKA_0104900	1701	2760	1518	535	318	1320	368
PBANKA_0105000	450	1085	1198	351	489	834	293
PBANKA_0105100	375	12668	10644	2252	1305	8483	581
PBANKA_0105200	1965	1466	496	185	85	375	83
PBANKA_0105300	5337	7298	1880	297	518	1839	336
PBANKA_0105400	4152	3785	1395	292	486	1303	352
PBANKA_0105500	651	689	466	226	178	1163	120
PBANKA_0105600	2802	3188	1455	317	556	1173	328
PBANKA_0105700	1407	1255	681	180	145	673	151
PBANKA_0105800	1164	1170	908	258	250	858	94
PBANKA_0105900	1260	1116	507	133	189	529	84
PBANKA_0106000	1902	2035	1190	617	641	1434	351
PBANKA_0106100	1383	736	176	72	108	299	60
PBANKA_0106200	2259	8294	2650	360	419	1804	410
PBANKA_0106300	6528	140642	40049	9967	10142	42115	6222
PBANKA_0106400	1671	1092	395	194	234	753	149
PBANKA_0106500	2364	930	413	146	111	325	83
PBANKA_0106600	1056	504	277	120	81	225	66
PBANKA_0106700	3534	1457	696	205	251	648	200
PBANKA_0106800	477	528	341	144	109	572	73
PBANKA_0106900	3252	782	457	156	284	495	165
PBANKA_0106950	1365	418	206	96	59	186	36
PBANKA_0107000	321	2007	1191	346	228	1401	105
PBANKA_0107100	708	1670	962	296	337	598	205
PBANKA_0107200	690	2333	2642	784	201	737	188
PBANKA_0107300	1632	3138	1221	553	749	1372	446
PBANKA_0107400	1245	3609	2673	1002	920	2105	677
PBANKA_0107500	2616	1374	443	173	146	503	116
PBANKA_0107600	16323	9657	2179	199	787	2494	627
PBANKA_0107700	1035	2836	2466	1607	1342	6325	543
PBANKA_0107800	1344	454	349	129	111	280	101
